model,entity_type,precision,recall,f1,support
XLM-RoBERTa,CURRENCYCODE,0.8260869565217391,0.8769230769230769,0.8507462686567164,65
XLM-RoBERTa,CURRENCYNAME,0.9848484848484849,1.0,0.9923664122137404,65
XLM-RoBERTa,CURRENCYSYMBOL,0.9343434343434344,0.9390862944162437,0.9367088607594937,197
XLM-RoBERTa,DATE,0.7506112469437652,0.9191616766467066,0.8263795423956931,334
XLM-RoBERTa,DOB,0.76,0.5337078651685393,0.627062706270627,178
XLM-RoBERTa,EMAIL,0.9932885906040269,1.0,0.9966329966329966,296
XLM-RoBERTa,ETHEREUMADDRESS,1.0,1.0,1.0,111
XLM-RoBERTa,EYECOLOR,1.0,1.0,1.0,64
XLM-RoBERTa,FIRSTNAME,0.9715964740450539,0.9520153550863724,0.9617062530295686,1042
XLM-RoBERTa,GENDER,0.9642857142857143,0.9938650306748467,0.9788519637462235,163
XLM-RoBERTa,HEIGHT,0.9636363636363636,0.9814814814814815,0.9724770642201834,54
XLM-RoBERTa,IBAN,0.9880952380952381,0.9940119760479041,0.991044776119403,167
XLM-RoBERTa,IPADDRESS,0.9982847341337907,0.9982847341337907,0.9982847341337907,583
XLM-RoBERTa,JOBAREA,0.9739130434782609,0.9824561403508771,0.9781659388646288,228
XLM-RoBERTa,JOBTITLE,0.8438661710037175,0.941908713692946,0.8901960784313726,241
XLM-RoBERTa,JOBTYPE,0.9337349397590361,0.7908163265306123,0.8563535911602209,196
XLM-RoBERTa,LASTNAME,0.9720670391061452,0.9802816901408451,0.9761570827489481,355
XLM-RoBERTa,LITECOINADDRESS,1.0,0.9142857142857143,0.955223880597015,70
XLM-RoBERTa,MAC,1.0,1.0,1.0,88
XLM-RoBERTa,MASKEDNUMBER,0.9423076923076923,0.8258426966292135,0.8802395209580839,178
XLM-RoBERTa,MIDDLENAME,0.8744186046511628,0.8995215311004785,0.8867924528301887,209
XLM-RoBERTa,NEARBYGPSCOORDINATE,1.0,1.0,1.0,127
XLM-RoBERTa,ORDINALDIRECTION,1.0,0.9213483146067416,0.9590643274853802,89
XLM-RoBERTa,PASSWORD,1.0,1.0,1.0,194
XLM-RoBERTa,PHONEIMEI,0.9841269841269841,1.0,0.9919999999999999,124
XLM-RoBERTa,PHONENUMBER,0.9900497512437811,0.9900497512437811,0.9900497512437811,201
XLM-RoBERTa,PIN,0.9838709677419355,0.9838709677419355,0.9838709677419355,62
XLM-RoBERTa,PREFIX,0.9045936395759717,0.9961089494163424,0.9481481481481482,257
XLM-RoBERTa,SECONDARYADDRESS,0.9759036144578314,0.9938650306748467,0.9848024316109423,163
